,name,product_link,price,image_link,image_name
21, Acer HA220Q 21.5 inch IPS Full HD Monitor,https://www.startech.com.bd/acer-ha220q-21-5-inch-monitor,"
14,000৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/acer/ha220q/ha220q-01-228x228.jpg,Acer HA220Q 21.5 inch IPS Full HD Monitor
22," BenQ GW2280 22"" Eye-care Stylish Full HD LED Monitor",https://www.startech.com.bd/benq-gw2280-22-inch-fhd-monitor,"
14,200৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/benq/gw2283/gw2283-228x228.jpg,"BenQ GW2280 22"" Eye-care Stylish Full HD LED Monitor"
23," AOC 22B2HN 21.5"" FHD Monitor",https://www.startech.com.bd/aoc-22b2hn-fhd-monitor,"
13,900৳ 14,500৳
",https://www.startech.com.bd/image/cache/catalog/monitor/aoc/22b2hn/22b2hn-03-228x228.jpg,"AOC 22B2HN 21.5"" FHD Monitor"
24," Philips 221V8 22"" FHD Monitor",https://www.startech.com.bd/philips-221v8-22-inch-fhd-monitor,"
14,900৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/philips/221v8/221v8-01-228x228.jpg,"Philips 221V8 22"" FHD Monitor"
25," ViewSonic VA2215-H 22"" Full HD Monitor",https://www.startech.com.bd/viewsonic-va2215-h-22-inch-monitor,"
13,500৳ 15,000৳
",https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/va2215-h/va2215-h-01-228x228.jpg,"ViewSonic VA2215-H 22"" Full HD Monitor"
26," Asus VP229HE 21.5"" Full HD FreeSync Eye Care Monitor",https://www.startech.com.bd/asus-vp229he-full-hd-monitor,"
15,100৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/asus/vp229he/vp229he-01-228x228.jpg,"Asus VP229HE 21.5"" Full HD FreeSync Eye Care Monitor"
27, BenQ GW2283 21.5 Inch Eye-care Stylish Full HD IPS Monitor,https://www.startech.com.bd/benq-gw2283-ips-monitor,"
15,200৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/benq/gw2283/gw2283-228x228.jpg,BenQ GW2283 21.5 Inch Eye-care Stylish Full HD IPS Monitor
28," SAMSUNG LF22T350 22"" Full HD IPS LED Monitor",https://www.startech.com.bd/samsung-lf22t350-22-inch-monitor,"
15,450৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/samsung/lf22t350fhnxza/lf22t350fhnxza-228x228.jpg,"SAMSUNG LF22T350 22"" Full HD IPS LED Monitor"
29, Lenovo L22e-30 21.5-inch FHD Monitor,https://www.startech.com.bd/lenovo-l22e-30-monitor,"
15,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/lenovo/l22e-30/l22e-30-01-228x228.jpg,Lenovo L22e-30 21.5-inch FHD Monitor
30," Lenovo L22i-30 21.5"" FHD IPS FreeSync Monitor",https://www.startech.com.bd/lenovo-l22i-30-monitor,"
TBA
",https://www.startech.com.bd/image/cache/catalog/monitor/lenovo/l22i-30/l22i-30-01-228x228.jpg,"Lenovo L22i-30 21.5"" FHD IPS FreeSync Monitor"
31," Lenovo G24-20 23.8"" FHD Gaming Monitor",https://www.startech.com.bd/lenovo-g24-20-monitor,"
TBA
",https://www.startech.com.bd/image/cache/catalog/monitor/lenovo/g24-20/g24-20-01-228x228.jpg,"Lenovo G24-20 23.8"" FHD Gaming Monitor"
32," Lenovo L24i-30 23.8"" FHD IPS FreeSync Monitor",https://www.startech.com.bd/lenovo-l24i-30-monitor,"
TBA
",https://www.startech.com.bd/image/cache/catalog/monitor/lenovo/l24i-30/l24i-30-01-228x228.jpg,"Lenovo L24i-30 23.8"" FHD IPS FreeSync Monitor"
33, LG 22MK600M 21.5 inch IPS Full HD LED Monitor,https://www.startech.com.bd/lg-22mk600m-full-hd-monitor,"
15,700৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/22mk600m/lg-22mk600m-1-228x228.jpg,LG 22MK600M 21.5 inch IPS Full HD LED Monitor
34," Viewsonic VX2276-SHD 75hz 21.5"" FHD IPS LED Monitor",https://www.startech.com.bd/viewsonic-vx2276-shd-led-monitor,"
16,000৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/vx2276-smhd/vx2276-smhd-228x228.jpg,"Viewsonic VX2276-SHD 75hz 21.5"" FHD IPS LED Monitor"
35," Huawei Display AD80HW 23.8"" IPS FHD Monitor",https://www.startech.com.bd/huawei-display-ad80hw-23-8-inch-monitor,"
16,200৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/huawei/ad80hw/ad80hw-228x228.jpg,"Huawei Display AD80HW 23.8"" IPS FHD Monitor"
36, Asus VZ229H 21.5-inch Full HD LED Backlit Monitor,https://www.startech.com.bd/asus-vz229h-monitor,"
16,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/asus/vz229h/vz229h-228x228.jpg,Asus VZ229H 21.5-inch Full HD LED Backlit Monitor
37," HP M22f 22"" FHD IPS Monitor",https://www.startech.com.bd/hp-m22f-22-inch-monitor,"
16,750৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/m22f/m22f-228x228.jpg,"HP M22f 22"" FHD IPS Monitor"
38," Asus VA229QSB 21.5"" IPS Full HD Eye Care Monitor",https://www.startech.com.bd/asus-va229qsb-monitor,"
17,100৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/asus/va229qsb/va229qsb-01-228x228.jpg,"Asus VA229QSB 21.5"" IPS Full HD Eye Care Monitor"
39," Xiaomi Redmi RMMNT27NF 27"" FHD IPS Monitor",https://www.startech.com.bd/xiaomi-redmi-rmmnt27nf-27-inch-monitor,"
17,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/xiaomi/redmi/redmi-01-228x228.jpg,"Xiaomi Redmi RMMNT27NF 27"" FHD IPS Monitor"
40," HP P24v G4 23.8"" FHD Monitor",https://www.startech.com.bd/hp-p24v-g4-fhd-monitor,"
19,700৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/p24v-g4/p24v-g4-01-228x228.jpg,"HP P24v G4 23.8"" FHD Monitor"
41," LG 24MP400-B 24"" Full HD IPS Monitor",https://www.startech.com.bd/lg-24mp400-b-24-inch-fhd-ips-monitor,"
19,800৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/24mp400-b/24mp400-b-01-228x228.jpg,"LG 24MP400-B 24"" Full HD IPS Monitor"
42," LG 24MK430H-B 24"" Full HD FreeSync IPS LED Monitor",https://www.startech.com.bd/lg-24mk430h-b-24-inch-fhd-monitor,"
17,999৳ 20,000৳
",https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/24mk430h-b/24mk430h-b-01-228x228.jpg,"LG 24MK430H-B 24"" Full HD FreeSync IPS LED Monitor"
43, BenQ GW2480 24 inch Full HD Eye-Care Business IPS Monitor,https://www.startech.com.bd/benq-gw2480-fhd-monitor,"
20,200৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/benq/gw2480/gw2480-001-228x228.jpg,BenQ GW2480 24 inch Full HD Eye-Care Business IPS Monitor
